,objective,weight,included
70,0.1,2.1,0.0
71,6.8,14.9,0.0
72,4.7,8.6,0.0
73,5.9,18.2,0.0
74,1.7,6.0,0.0
75,4.0,9.9,0.0
76,7.5,17.4,0.0
77,9.7,4.2,1.0
78,9.5,7.6,1.0
79,1.2,3.8,0.0
80,9.4,16.2,0.0
81,3.7,11.4,0.0
82,4.2,12.9,0.0
83,0.8,4.3,0.0
84,8.8,10.8,1.0
85,0.8,14.7,0.0
86,2.8,10.7,0.0
87,0.3,17.0,0.0
88,5.9,5.0,1.0
89,1.9,6.4,0.0
90,4.5,1.5,1.0
91,0.0,5.7,0.0
92,4.8,16.8,0.0
93,6.8,14.9,0.0
94,7.3,16.3,0.0
95,5.8,5.3,1.0
96,2.6,9.6,0.0
97,2.2,9.8,0.0
98,9.8,10.9,1.0
99,7.6,20.2,0.0
100,10.0,7.3,1.0
101,6.7,15.0,0.0
102,4.4,11.1,0.0
103,0.1,8.2,0.0
104,4.6,13.1,0.0
105,7.7,4.3,1.0
106,1.1,15.0,0.0
107,1.7,10.3,0.0
108,2.0,4.6,0.0
109,3.0,4.6,0.0
110,7.1,19.2,0.0
111,1.6,19.9,0.0
112,1.8,4.1,0.0
113,6.0,4.7,1.0
114,3.0,18.7,0.0
115,3.4,0.9,1.0
116,9.0,19.7,0.0
117,0.5,3.2,0.0
118,7.8,5.3,1.0
119,6.0,9.1,0.0
120,4.6,18.5,0.0
121,8.0,18.9,0.0
122,3.2,13.2,0.0
123,4.3,15.9,0.0
124,0.0,11.2,0.0
125,10.0,16.4,0.0
126,4.3,0.8,1.0
127,2.0,7.4,0.0
128,1.4,16.0,0.0
129,5.2,2.6,1.0
130,3.5,8.9,0.0
131,4.8,9.3,0.0
132,8.4,0.9,1.0
133,2.9,4.0,1.0
134,9.4,5.0,1.0
135,3.2,19.5,0.0
136,1.9,14.3,0.0
137,2.6,7.2,0.0
138,2.5,15.0,0.0
139,9.7,18.3,0.0
140,7.0,17.9,0.0
141,3.5,8.3,0.0
142,8.9,16.8,0.0
143,7.1,16.1,0.0
144,2.1,6.6,0.0
145,2.9,18.6,0.0
146,8.9,5.1,1.0
147,3.5,15.8,0.0
148,7.7,5.4,1.0
149,6.6,13.6,0.0
150,0.5,19.8,0.0
151,0.6,14.7,0.0
152,9.3,13.0,0.0
153,3.9,17.3,0.0
154,5.8,16.1,0.0
155,4.2,18.0,0.0
156,7.7,19.8,0.0
157,0.3,1.9,0.0
158,0.9,10.8,0.0
159,3.3,16.9,0.0
160,1.9,9.5,0.0
161,9.7,1.5,1.0
162,6.6,18.9,0.0
163,1.7,2.3,0.0
164,5.9,9.8,0.0
165,6.3,1.0,1.0
166,6.8,10.7,0.0
167,4.5,1.1,1.0
168,5.8,0.6,1.0
169,3.9,7.8,0.0
170,9.7,5.5,1.0
171,1.4,4.3,0.0
172,7.0,16.2,0.0
173,1.1,12.3,0.0
174,5.2,20.4,0.0
175,8.9,15.2,1.0
176,6.3,15.5,0.0
177,3.8,20.2,0.0
178,7.3,2.5,1.0
179,7.8,15.4,0.0
180,3.5,14.2,0.0
181,1.8,7.4,0.0
182,6.1,12.1,0.0
183,4.7,10.7,0.0
184,4.2,1.5,1.0
185,3.3,13.6,0.0
186,1.7,7.7,0.0
187,3.0,11.2,0.0
188,8.6,20.3,0.0
189,4.2,1.7,1.0
190,6.4,2.2,1.0
191,5.4,17.4,0.0
192,9.6,4.6,1.0
193,8.6,19.7,0.0
194,5.7,19.6,0.0
195,10.0,16.8,0.0
196,3.6,13.2,0.0
197,0.5,15.4,0.0
198,0.5,13.5,0.0
199,3.9,11.6,0.0
200,1.1,15.7,0.0
201,9.6,4.3,1.0
202,9.6,15.0,1.0
203,9.7,16.3,0.0
204,5.9,13.2,0.0
205,9.1,7.2,1.0
206,5.6,16.4,0.0
207,4.7,19.5,0.0
208,6.1,15.3,0.0
209,1.7,4.2,0.0
210,9.0,13.1,0.0
211,7.8,4.5,1.0
212,9.4,16.4,0.0
213,0.0,10.3,0.0
214,2.0,6.7,0.0
215,6.2,15.2,0.0
216,4.6,4.1,1.0
217,9.9,4.8,1.0
218,8.5,15.1,0.0
219,4.1,12.0,0.0
220,5.1,17.6,0.0
221,5.2,3.1,1.0
222,2.7,14.7,0.0
223,7.5,10.8,0.0
224,2.0,15.1,0.0
225,7.1,5.3,1.0
226,7.0,13.5,0.0
227,2.4,16.8,0.0
228,9.1,3.5,1.0
229,9.6,13.6,0.0
230,9.6,11.8,1.0
231,4.0,7.6,0.0
232,6.5,17.8,0.0
233,7.9,15.0,0.0
234,1.5,16.9,0.0
235,5.4,8.6,0.0
236,6.0,1.2,1.0
237,5.0,6.5,1.0
238,5.9,18.5,0.0
239,0.3,8.0,0.0
240,7.6,15.2,0.0
241,3.9,20.0,0.0
242,8.9,4.3,1.0
243,10.0,16.1,0.0
244,1.5,7.0,0.0
245,2.2,9.9,0.0
246,0.6,19.0,0.0
247,7.2,6.2,1.0
248,7.6,18.7,0.0
249,8.7,15.1,0.0
250,4.7,13.3,0.0
251,9.3,11.3,1.0
252,0.9,15.0,0.0
253,0.8,3.7,0.0
254,2.5,16.6,0.0
255,3.8,4.7,1.0
256,2.8,2.0,1.0
257,2.8,2.5,1.0
258,0.9,0.7,1.0
259,6.4,1.0,1.0
260,1.5,11.9,0.0
261,2.4,14.8,0.0
262,6.2,8.4,0.0
263,9.1,2.2,1.0
264,10.0,4.6,1.0
265,3.5,10.2,0.0
266,2.8,13.3,0.0
267,6.0,17.3,0.0
268,8.4,13.0,0.0
269,6.4,0.7,1.0
270,3.7,10.2,0.0
271,6.1,20.1,0.0
272,7.7,7.7,1.0
273,8.5,5.7,1.0
274,6.9,16.2,0.0
275,0.1,13.3,0.0
276,9.3,3.6,1.0
277,2.6,15.8,0.0
278,2.2,13.8,0.0
279,3.6,5.0,0.0
280,2.8,17.5,0.0
281,5.6,7.4,0.0
282,8.3,8.5,1.0
283,6.0,9.5,0.0
284,2.1,12.8,0.0
285,2.9,16.2,0.0
286,5.2,20.3,0.0
287,1.3,18.2,0.0
288,0.8,8.3,0.0
289,6.0,20.4,0.0
290,4.0,13.1,0.0
291,7.8,1.9,1.0
292,2.5,5.3,0.0
293,4.1,13.2,0.0
294,2.4,18.8,0.0
295,7.6,12.1,0.0
296,6.3,16.5,0.0
297,7.7,18.8,0.0
298,9.9,15.8,0.0
299,9.3,12.5,0.0
300,0.5,2.2,0.0
301,4.0,9.2,0.0
302,3.8,19.0,0.0
303,7.2,6.2,1.0
304,0.9,2.5,0.0
305,4.5,15.3,0.0
306,3.8,18.2,0.0
307,9.1,15.4,0.0
308,5.7,6.4,0.0
309,7.1,13.8,0.0
310,7.9,17.4,0.0
311,0.8,5.6,0.0
312,3.0,19.8,0.0
313,6.3,9.2,0.0
314,8.3,20.1,0.0
315,10.0,16.1,0.0
316,1.2,17.7,0.0
317,4.1,6.3,1.0
318,2.0,5.9,0.0
319,9.3,6.8,1.0
320,7.6,9.5,1.0
321,5.6,6.6,1.0
322,5.4,18.4,0.0
323,3.0,11.6,0.0
324,3.7,17.7,0.0
325,0.4,14.2,0.0
326,2.8,17.7,0.0
327,7.8,3.4,1.0
328,3.9,8.2,0.0
329,7.7,15.1,0.0
330,3.2,19.0,0.0
331,6.3,7.2,0.0
332,4.6,14.7,0.0
333,9.5,2.9,1.0
334,7.9,7.7,1.0
335,4.1,7.2,0.0
336,3.8,17.4,0.0
337,8.9,19.3,0.0
338,9.4,7.6,0.0
339,0.6,19.6,0.0
340,6.3,14.3,0.0
341,9.7,15.5,0.0
342,7.0,7.8,1.0
343,6.1,8.7,0.0
344,2.0,11.9,0.0
345,5.1,8.6,0.0
346,6.5,4.2,1.0
347,1.1,16.4,0.0
348,3.4,15.9,0.0
349,6.3,5.4,0.0
350,5.6,2.1,1.0
351,5.0,14.4,0.0
352,5.9,16.9,0.0
353,8.5,8.0,1.0
354,5.3,0.8,1.0
355,1.0,2.1,0.0
356,1.2,11.7,0.0
357,8.2,11.9,0.0
358,1.4,1.8,1.0
359,7.8,18.9,0.0
360,7.4,13.6,1.0
361,7.7,11.4,0.0
362,5.1,15.5,0.0
363,2.1,11.5,0.0
364,9.0,17.9,0.0
365,8.8,14.6,0.0
366,9.2,13.3,0.0
367,3.1,7.4,0.0
368,0.8,3.8,0.0
369,2.1,9.4,0.0
370,8.2,14.6,0.0
371,7.3,19.7,0.0
372,6.7,10.0,0.0
373,0.3,6.3,0.0
374,8.9,0.5,1.0
375,2.0,3.5,0.0
376,0.3,8.4,0.0
377,9.5,10.5,1.0
378,8.7,14.3,0.0
379,2.5,13.6,0.0
380,5.9,19.9,0.0
381,4.5,4.1,0.0
382,2.6,6.9,0.0
383,9.1,2.8,1.0
384,0.7,5.8,0.0
385,2.0,12.0,0.0
386,9.9,8.4,1.0
387,2.4,8.9,0.0
388,3.2,11.7,0.0
389,2.3,4.7,0.0
390,0.7,2.3,0.0
391,7.3,1.7,1.0
392,9.3,3.0,1.0
393,1.8,11.8,0.0
394,4.2,5.0,1.0
395,5.6,4.0,1.0
396,2.2,6.7,0.0
397,6.7,9.8,0.0
398,10.0,16.6,0.0
399,1.3,1.0,0.0
